SEQN,RIAGENDR,RIDAGEYR,DMDMARTZ,RIDEXPRG,WTINTPRP,WTMECPRP,INDFMPIR
113345,1,21,3,,15068.25329,0,
113346,1,10,,,6694.307671,7430.393981,3.14
113347,2,47,1,,14888.42624,14973.39083,2.03
113348,2,80,1,,24269.36619,30028.83026,2.46
113349,1,34,3,,31643.34728,35216.83761,5
113350,2,26,1,2,35264.86564,41325.36854,0.76
113351,2,1,,,2189.214292,0,1.42
113352,2,5,,,31667.81534,36538.95343,3.11
113353,2,60,2,,5295.440521,5579.508762,
113354,1,0,,,3887.070052,0,0.52
113355,2,67,3,,4133.116922,4408.38358,1.4
113356,1,9,,,5335.779038,6024.630843,
113357,2,74,1,,12015.31213,12958.46262,5
113358,1,7,,,7024.454566,7608.334678,3.66
113359,1,14,,,25402.64982,26540.82982,1.83
113360,2,31,1,3,7300.516074,0,3.55
113361,1,2,,,5246.506801,6013.622411,1.5
113362,1,74,2,,17780.52037,19134.39514,1.37
113363,2,64,2,,73327.49336,82866.21378,1.18
113364,2,38,1,2,14200.58553,15401.68521,0.68
113365,2,34,3,2,12765.86073,13707.6071,2.39
113366,2,26,1,2,19873.7732,21731.01318,0.59
113367,1,68,1,,45927.86105,49999.17389,5
113368,1,45,3,,10040.33781,10610.06946,1.18
113369,1,51,1,,23955.05975,24919.55923,5
113370,1,67,1,,5303.020097,5480.85914,5
113371,2,62,3,,3842.683566,4051.956183,2.11
113372,1,62,2,,5801.432897,5994.8199,5
113373,1,33,1,,17171.27437,18930.05536,1.32
113374,2,22,3,2,39010.89559,42134.07958,1.2
113375,1,80,1,,10262.20168,11354.08402,
113376,2,56,2,,15173.26142,16381.13074,0.99
113377,2,7,,,4253.018844,4812.029107,0.61
113378,1,80,1,,31109.75899,33291.80367,5
113379,1,76,2,,4349.425898,4590.116931,3.29
113380,2,6,,,4813.501596,0,1.2
113381,2,31,1,3,26638.77243,27402.07284,
113382,2,9,,,16936.89504,18854.6362,0.42
113383,2,55,1,,127914.7868,134690.6664,3.48
113384,2,40,1,2,9469.04663,9697.901226,1.38
113385,1,62,2,,4120.987376,4418.962489,0.25
113386,2,24,3,2,29648.91188,32275.19604,1.06
113387,1,64,2,,104547.9025,0,3.03
113388,2,0,,,7892.399339,0,
113389,1,33,3,,11647.95345,0,0.35
113390,1,8,,,13869.89418,14468.44753,1.11
113391,2,37,1,2,10021.38915,10878.24722,1.39
113392,2,63,3,,5919.449996,6237.360376,1.06
113393,2,3,,,11926.18589,13116.28182,1.75
113394,1,50,3,,10272.51751,11131.37407,1.6
113395,2,80,2,,12611.18361,0,1.4
113396,2,28,1,2,11688.99047,12871.42771,3.05
113397,2,68,2,,4768.123417,4946.976421,1.06
113398,2,49,2,,13086.60814,15184.06029,5
113399,1,60,1,,4160.856681,4457.992632,4.17
113400,2,62,2,,12102.4166,0,
113401,2,21,3,2,32967.86059,35475.96588,5
113402,1,9,,,16874.12732,17416.87465,0.78
113403,2,67,3,,4966.795226,5153.100438,0.96
113404,1,60,1,,2822.998618,2924.517758,0.81
113405,2,59,1,,21086.82374,22813.05601,0
113406,2,26,1,2,89555.45103,93083.55739,3.69
113407,2,61,3,,9553.343789,10056.79661,
113408,1,17,,,15826.26491,17805.45386,2.68
113409,2,30,3,2,41755.51327,41853.08202,0.8
113410,2,0,,,4173.726637,4458.621457,0.73
113411,1,17,,,9014.588332,9283.154337,
113412,1,0,,,5939.721648,0,5
113413,2,32,1,2,31244.96886,33049.43431,1.74
113414,2,1,,,4853.599913,5302.852399,
113415,2,30,1,2,9980.639403,10503.03709,4.14
113416,2,63,2,,3191.528436,3298.425936,
113417,2,9,,,17064.75954,18421.52354,1.92
113418,2,29,1,2,22308.4574,23968.83884,0.78
113419,2,13,,,19540.61366,21079.66201,3.03
113420,2,65,1,,4371.189958,4737.316701,0.96
113421,1,6,,,13910.30503,14648.69753,0.41
113422,2,16,,,33577.93275,35182.52599,0.68
113423,1,22,3,,10066.54243,10870.40082,1.54
113424,1,10,,,13869.89418,14468.44753,1.38
113425,2,55,1,,21337.83151,21945.98568,2.73
113426,1,5,,,9502.989642,10710.41861,5
113427,2,63,1,,6852.793623,7549.568101,2.16
113428,2,10,,,9799.068411,10149.7312,1.16
113429,2,80,2,,35703.57425,49149.47848,
113430,1,63,1,,4063.3185,4171.275536,5
113431,1,26,3,,29276.4695,31121.07157,4.16
113432,1,18,,,20107.31179,21063.25027,4.76
113433,2,11,,,10197.64506,10781.14686,1.22
113434,1,8,,,4239.640781,4717.322392,0.42
113435,2,21,3,2,62432.27359,63553.32026,4.74
113436,2,47,3,,9151.006797,10204.55957,4.85
113437,1,62,1,,12374.29672,13252.72932,
113438,1,11,,,3998.114774,4258.456436,0.51
113439,1,66,1,,59515.86461,67948.67019,2.03
113440,2,58,1,,23961.1477,23098.30962,5
113441,2,14,,,3222.766071,3347.699933,1.16
113442,1,22,3,,12983.64024,14189.00677,3.79
113443,1,46,1,,15515.43352,16048.00747,5
113444,1,0,,,5782.529516,0,4.69
113445,2,37,1,2,21851.40482,24511.27878,1.29
113446,1,57,2,,14858.66378,16045.14776,0.79
113447,1,31,3,,23332.2861,26300.57593,1.05
113448,2,51,1,,9657.282579,10384.9148,2.8
113449,2,13,,,20337.56164,21520.09694,0.63
113450,2,60,2,,10318.83431,11049.62022,0.73
113451,2,45,2,,5714.565476,5950.053692,1.13
113452,1,80,1,,10266.81009,12221.98805,1.91
113453,1,27,1,,6069.272124,6937.338771,1.6
113454,2,71,1,,11854.25915,0,
113455,1,61,1,,6111.064842,6675.099989,
113456,2,80,2,,16896.17614,21024.86687,1.78
113457,2,73,2,,17666.47117,19643.64516,4.07
113458,1,12,,,5451.847829,5968.773156,1.46
113459,1,60,1,,6464.77039,0,
113460,1,80,2,,15906.47471,0,
113461,1,51,1,,5947.10338,6689.387802,5
113462,1,38,1,,15279.92584,16436.59698,0.85
113463,2,51,2,,14929.23516,14956.87818,
113464,2,20,3,2,41216.87741,48300.27332,0.94
113465,2,4,,,7439.34679,8451.634336,0.81
113466,2,6,,,10197.64506,10781.14686,1.02
113467,2,63,1,,85626.5668,86669.49232,4.29
113468,1,22,2,,40685.32884,45591.93741,1.32
113469,1,36,3,,54442.18438,61992.28832,2.03
113470,2,29,1,1,23277.87687,24251.74792,4.81
113471,1,8,,,7197.22209,7615.548806,0.35
113472,2,48,3,,5713.620993,6354.179708,
113473,2,80,1,,7551.054129,8214.401902,5
113474,2,8,,,10914.55802,13395.00619,5
113475,2,80,2,,25070.59538,29065.07183,1.69
113476,2,6,,,2743.96187,3107.593694,
113477,2,62,2,,10827.0892,11370.11579,1.54
113478,2,31,3,2,14034.09192,14844.5915,2.07
113479,2,60,2,,137289.7474,145124.4733,2.07
113480,1,41,1,,15022.62626,16753.05577,5
113481,2,11,,,12417.5393,14078.40663,4.41
113482,1,67,2,,98720.70658,98229.79203,2.47
113483,1,80,1,,4145.450957,0,2.59
113484,1,5,,,7576.327443,8546.622761,1.72
113485,2,6,,,2136.12194,2254.507131,1.43
113486,2,27,3,2,11884.65817,12417.20483,2.94
113487,2,52,1,,17301.20004,17944.65026,4
113488,2,80,2,,19534.50958,25282.62312,2.96
113489,1,13,,,7150.830788,7643.261945,3.88
113490,1,9,,,2907.287889,3398.75705,1.62
113491,2,38,1,2,22052.54669,23707.17788,
113492,1,61,2,,5142.343759,5490.367106,0.74
113493,1,46,1,,27066.70745,28337.94788,5
113494,2,25,1,2,28056.2308,30144.40947,2.03
113495,2,13,,,14134.82044,14867.8336,4.66
113496,2,2,,,11400.81084,12233.38443,2.85
113497,2,13,,,67518.7068,69399.04446,4.88
113498,1,11,,,17750.7569,18765.64811,
113499,1,23,3,,39744.24378,46108.68229,2.8
113500,2,80,1,,48848.54791,53506.19689,2.31
113501,1,56,2,,20422.28406,22749.34972,0.8
113502,2,2,,,5014.111648,5590.983503,0.2
113503,1,68,1,,24276.441,26110.38135,1.7
113504,2,30,3,1,19120.73875,21096.65739,0.29
113505,2,29,1,2,17570.54011,19140.83529,4.22
113506,1,8,,,9332.736098,10318.3962,1.06
113507,2,19,,,11343.19763,12189.14143,3.28
113508,1,9,,,7736.745261,8578.025228,3.47
113509,1,26,3,,53885.1622,59740.62985,4.39
113510,2,68,2,,22374.97811,23475.64771,5
113511,2,66,3,,3959.556007,4139.660252,0.92
113512,2,17,,,4133.490581,4873.294907,1.16
113513,2,18,,,12246.4019,12915.13804,2.23
113514,1,42,1,,12776.79109,13816.93975,0.84
113515,2,73,1,,9707.266118,0,
113516,2,65,1,,4280.912644,4243.818179,
113517,2,7,,,20997.70282,0,2.09
113518,1,60,1,,79714.75477,0,1.65
113519,2,64,2,,12653.35931,13488.88747,2.08
113520,1,5,,,2822.13535,3146.607309,1.47
113521,1,72,3,,26053.72464,29506.87564,1.91
113522,1,5,,,2750.464259,3039.4013,0.1
113523,2,0,,,3072.741867,3285.430526,1.46
113524,2,4,,,21914.04409,25754.45301,5
113525,1,0,,,10786.7827,11423.9456,4.66
113526,1,15,,,5404.518882,5753.933317,4.78
113527,1,40,1,,27197.27364,28873.23103,1.45
113528,1,79,1,,21967.43872,21870.61524,2.31
113529,2,4,,,16136.41233,18223.068,2.15
113530,1,8,,,7813.904559,9405.974805,1.84
113531,2,25,1,2,13868.10157,15340.37858,0.73
113532,2,43,1,2,19529.93651,22469.67464,3.73
113533,2,11,,,22766.93852,24500.52434,2.65
113534,1,56,1,,9638.102139,10314.37825,5
113535,2,8,,,12417.5393,13823.56007,1.6
113536,2,1,,,7673.457317,8909.044367,1.01
113537,1,3,,,9885.382127,10914.04881,0.02
113538,2,0,,,9816.560965,10558.05524,5
113539,1,42,1,,34824.02647,36258.48808,2.09
113540,1,1,,,19065.71104,22751.13697,
113541,1,79,1,,6622.378021,7112.550294,1.88
113542,1,52,1,,14608.23626,15028.74818,0.29
113543,2,35,1,3,43899.00663,45443.85959,1.82
113544,1,13,,,27172.62731,30895.50735,1.66
113545,1,20,3,,26171.70131,30678.42348,2.46
113546,1,73,1,,14833.06767,16051.409,3.65
113547,2,74,3,,14874.7154,16539.44517,2.13
113548,2,80,2,,7071.593193,7331.032279,1.26
113549,2,71,1,,65686.06217,81795.58245,3.65
113550,1,27,1,,5387.406634,5876.271956,0.73
113551,2,37,2,2,14929.1584,15438.15301,0.89
113552,1,80,1,,8356.310083,9409.507865,5
113553,2,50,1,,80465.24129,87264.68847,5
113554,2,2,,,2962.768645,3367.473013,0.08
113555,2,8,,,6305.359843,6890.820363,1.75
113556,2,23,1,1,30842.78548,32290.82105,2.55
113557,2,13,,,17954.31514,24842.70086,5
113558,1,33,1,,49575.45963,53440.61746,3.88
113559,1,63,1,,10018.19943,10553.79096,4.31
113560,2,61,1,,6094.684478,6443.114566,2.95
113561,1,10,,,20285.88758,23068.28083,1.45
113562,1,36,3,,69883.58038,72766.09294,1.12
113563,2,54,1,,10690.72473,0,
113564,2,14,,,7711.754088,9049.951699,1.79
113565,2,46,1,,5841.294844,6142.102536,1.43
113566,2,52,1,,23937.48222,27540.66491,4.93
113567,2,12,,,5075.277764,7946.241125,5
113568,2,44,1,3,12247.91907,0,4.76
113569,1,46,1,,177877.6553,194912.5517,4.15
113570,1,0,,,10744.8963,11247.53734,2.79
113571,1,15,,,22055.38183,23073.19249,3.23
113572,2,7,,,9060.460367,9830.940864,
113573,2,53,3,,34174.6258,36135.87421,1.41
113574,1,33,1,,148909.061,162403.6106,5
113575,1,58,1,,13693.37698,15347.46397,0
113576,1,43,3,,17902.60189,19457.77264,4.07
113577,2,42,2,2,8721.938826,8842.877622,2.96
113578,1,26,3,,15256.64148,16110.38991,2.74
113579,2,14,,,7673.252127,8022.091739,1.07
113580,2,77,1,,8096.816059,8826.315481,5
113581,2,75,1,,24827.00273,27249.23305,1.19
113582,1,55,3,,6692.51095,7289.626882,
113583,2,33,1,2,11631.39716,12778.43357,5
113584,2,54,1,,11598.82947,12535.15861,4.34
113585,2,0,,,6955.786521,6684.694992,0.59
113586,1,70,1,,11221.36607,11621.21142,1.25
113587,1,60,1,,3827.86943,4189.971974,1.79
113588,1,61,1,,3742.183008,4091.245264,4.19
113589,2,10,,,13834.33499,15410.24515,5
113590,1,65,2,,5705.205401,5924.620377,0.88
113591,1,66,2,,16384.92686,16053.62233,1.34
113592,2,16,,,13056.91283,13191.81317,5
113593,2,18,,,21191.24233,22576.80676,
113594,2,7,,,14037.02617,15465.91499,0.49
113595,2,13,,,20046.49864,21080.53076,2.39
113596,1,27,3,,29279.2874,0,0.58
113597,2,72,2,,35911.43465,39011.12303,5
113598,1,4,,,12149.60979,12415.71987,0.8
113599,1,31,1,,57298.20943,63771.93434,4.09
113600,2,80,3,,24473.05607,32032.14689,1.92
113601,1,1,,,4067.090777,4054.158992,0.85
113602,1,45,1,,30531.42211,33505.38848,2.3
113603,1,0,,,7091.756296,7655.7608,3.5
113604,1,11,,,11883.01936,13342.47951,
113605,1,3,,,22049.35191,24993.36876,1.1
113606,1,39,2,,29800.73509,0,5
113607,1,9,,,16728.31425,18375.51776,1.91
113608,1,0,,,9138.815126,9782.148523,1.78
113609,1,11,,,9077.443853,9717.596418,1.72
113610,1,0,,,12687.45846,14158.47172,
113611,2,14,,,7317.184142,7642.976616,
113612,1,14,,,13952.81453,16060.63123,5
113613,2,20,1,1,11233.61907,11772.03561,1.35
113614,1,30,1,,18165.16087,20099.41365,
113615,2,54,1,,88659.58832,94476.24012,
113616,1,66,3,,7361.710231,7815.550723,2.42
113617,1,46,1,,10756.03776,0,
113618,2,12,,,109744.2086,119517.7168,5
113619,2,80,2,,32735.86435,35443.45059,1.94
113620,2,48,1,,17564.55349,20208.45289,3.85
113621,2,58,2,,16675.2342,19967.9647,1.28
113622,1,7,,,17383.69703,20341.07559,5
113623,2,11,,,22637.09866,24491.49469,3.66
113624,1,45,1,,20901.09911,22817.42057,2.79
113625,2,57,2,,15184.61403,0,
113626,2,14,,,16781.11044,17691.14583,4.27
113627,1,33,3,,19310.96814,21239.78015,
113628,2,37,3,2,50776.74479,51480.95675,2.19
113629,1,33,3,,13669.94505,0,1.22
113630,1,39,1,,19138.07872,19675.69459,5
113631,2,64,1,,6070.626838,6319.038998,2.66
113632,2,50,1,,49229.20649,54222.58131,
113633,1,29,1,,24003.65495,27071.89604,5
113634,1,14,,,13695.45027,14301.88368,0.01
113635,2,80,2,,20953.43102,23843.83707,5
113636,1,24,3,,14256.414,16419.30084,
113637,2,35,2,2,22136.41212,24870.67113,1.82
113638,2,18,,,6568.968099,7303.615796,
113639,1,67,2,,8401.101801,9235.682662,1.04
113640,1,7,,,16022.46962,17202.96387,0.87
113641,2,24,3,2,64086.73746,66707.76807,1.83
113642,1,47,1,,9981.666351,10557.16416,0.88
113643,2,2,,,14029.62156,15850.74172,2.79
113644,2,19,,,4032.386558,4754.095478,0
113645,2,15,,,6141.880119,7280.970567,0.89
113646,2,47,1,,15034.51082,15480.19425,0
113647,1,58,2,,19412.23212,20016.02741,1.73
113648,1,61,1,,6292.263703,6749.924064,5
113649,1,55,1,,112513.39,118103.691,5
113650,1,2,,,7879.545086,9309.921983,3.65
113651,2,62,2,,16456.51889,18615.90868,1.11
113652,1,26,1,,5683.158283,6495.119916,1.58
113653,2,80,2,,15503.65774,17563.12237,
113654,2,19,,,7766.970129,8239.337993,0.59
113655,2,36,1,2,17690.23715,18261.68668,1.99
113656,1,17,,,6729.783306,7145.1072,2.39
113657,1,9,,,4335.25085,5407.715753,1.88
113658,2,37,1,2,12154.67531,12991.75535,
113659,2,16,,,6800.763935,7336.054383,2.06
113660,2,57,3,,8078.695752,8247.711832,0
113661,2,24,1,2,31891.42469,33695.08956,4.73
113662,2,10,,,8068.69178,9415.220902,5
113663,1,55,1,,8286.403305,8817.982774,5
113664,1,80,2,,5200.056534,5267.945929,0.8
113665,2,2,,,4275.486579,4223.718489,1.39
113666,1,34,2,,23396.03157,25521.54389,1.96
113667,1,50,1,,7293.479253,7548.671198,1.87
113668,1,75,1,,4947.529813,5006.485862,
113669,1,63,1,,9721.692977,10618.47582,
113670,2,16,,,39582.33236,42208.22495,2.89
113671,1,2,,,6622.82623,7311.993383,1.06
113672,2,54,3,,15012.28477,16081.06365,
113673,2,18,,,13468.11374,13874.37242,0.82
113674,1,80,2,,17548.07267,19505.66402,5
113675,1,4,,,4494.013496,4980.937998,0.6
113676,2,34,1,2,34764.76969,36701.27297,
113677,2,33,1,2,19652.6703,19687.81391,4.66
113678,2,47,2,,10021.70997,10887.92888,1.83
113679,1,16,,,5114.313104,5269.543536,3.04
113680,2,36,2,2,47732.54336,48531.90979,1.23
113681,1,62,1,,8465.349421,9001.478661,4.73
113682,1,58,1,,14652.47317,16617.12626,0
113683,1,25,1,,33966.4606,37140.62033,0.66
113684,1,71,1,,7783.620038,8803.504794,2.32
113685,2,4,,,5742.686646,6279.466297,
113686,2,17,,,14933.47488,15801.78748,1.63
113687,2,45,1,,7622.909243,7882.652286,5
113688,2,10,,,8611.729285,9178.848895,0.94
113689,1,11,,,18177.67717,19813.17542,1.72
113690,2,24,1,2,7940.54488,8347.864216,2.49
113691,2,63,2,,25105.95393,24860.61355,0.62
113692,2,23,1,2,26725.14236,28739.9001,1.24
113693,2,0,,,2804.333023,3055.812056,0.35
113694,1,0,,,4804.713098,5306.54685,2.4
113695,1,25,3,,65041.6853,75002.11935,4.68
113696,1,39,1,,23872.95134,25949.31343,1.61
113697,1,0,,,2207.879516,2421.190346,2.36
113698,1,13,,,10807.35419,11530.75977,0.24
113699,2,61,1,,9959.468861,10701.48935,0.92
113700,1,14,,,16259.27596,18978.18408,1.82
113701,1,27,1,,14827.22223,16026.75323,1.12
113702,1,57,1,,9624.545091,10205.14092,5
113703,2,23,1,2,6205.66577,6534.293511,4.66
113704,1,43,1,,20366.69711,19975.93115,1.06
113705,2,18,,,14193.29248,14468.70204,
113706,1,48,1,,7239.185528,7956.402117,4.27
113707,1,73,1,,6221.274119,6715.778027,0.91
113708,2,30,3,2,21127.98304,22939.00883,3.73
113709,1,38,1,,13246.48246,14040.13418,1.02
113710,1,14,,,25383.52275,27926.42151,5
113711,2,14,,,4231.818019,4498.98877,0.99
113712,2,14,,,9392.601339,9898.831715,1.14
113713,2,2,,,12388.68408,12422.33434,5
113714,1,37,3,,23039.13091,23542.15275,2.74
113715,1,80,1,,8615.168034,10312.69895,2.46
113716,2,47,1,,8527.159177,9534.222656,2.52
113717,1,51,1,,12061.59157,13450.94477,3.88
113718,2,72,2,,6586.850354,7242.683399,3.32
113719,1,10,,,5847.599295,6371.104254,0.14
113720,2,9,,,23403.14779,27658.24175,3.06
113721,2,13,,,15339.36212,16918.17926,0.8
113722,2,2,,,2944.272526,3239.799112,1.04
113723,1,38,1,,14182.72461,15256.339,0.12
113724,1,1,,,5968.429618,6875.832142,1
113725,1,7,,,7618.139704,0,1.17
113726,1,20,3,,7378.183392,8655.557734,
113727,2,41,1,2,14978.30451,16646.67586,5
113728,2,0,,,7813.655623,8137.52868,2.64
113729,1,5,,,10973.89333,12095.57026,
113730,1,80,1,,3863.618041,4404.051818,0.77
113731,2,26,3,2,107730.7626,111862.1111,3.32
113732,2,8,,,6689.83848,7985.15178,5
113733,1,68,2,,6931.364387,7661.518225,0.68
113734,1,74,2,,8573.817794,9983.294358,1.82
113735,1,50,1,,69455.49956,74775.2496,3.65
113736,1,64,3,,5759.185193,6170.075316,
113737,2,56,3,,13202.73297,13294.303,
113738,2,55,1,,24536.71185,26723.77227,1.07
113739,1,6,,,21123.73261,25527.56139,2.65
113740,2,63,3,,36293.25269,35578.05357,0.72
113741,1,5,,,11626.42158,13428.60367,0.25
113742,2,21,3,2,7942.245638,8499.719219,2.52
113743,2,18,,,8250.745222,8822.00522,2.03
113744,1,41,2,,31761.83353,33554.09686,3.25
113745,2,8,,,14054.82903,15135.32976,3.63
113746,1,19,,,9042.805599,10049.33885,0.83
113747,1,29,1,,224901.28,261836.1602,5
113748,2,17,,,33270.25637,34606.14532,1.55
113749,2,6,,,3259.444201,4029.107483,2.81
113750,1,60,1,,3970.291065,4209.171828,5
113751,1,61,1,,134468.3948,139418.0957,2.65
113752,2,13,,,12102.70609,12928.44846,1.88
113753,2,80,2,,23575.19958,34056.80673,1.58
113754,2,49,2,,47030.90976,53335.55582,4.8
113755,2,26,3,3,9808.503145,0,2.82
113756,1,0,,,3917.83111,4196.683814,0.87
113757,1,21,1,,115807.4754,132644.7615,3.4
113758,1,0,,,3293.897321,3608.893041,0
113759,2,15,,,11348.07896,13304.70427,1
113760,1,80,1,,29430.1352,31329.949,1.95
113761,1,25,3,,39768.21069,46926.10225,2.21
113762,1,64,1,,10299.7568,11070.72529,1.92
113763,2,25,1,2,8961.914929,9538.054947,3.85
113764,1,6,,,6319.975202,7336.031426,1.02
113765,1,68,2,,2833.383087,0,
113766,2,58,1,,22793.27121,24308.44134,2.8
113767,1,23,3,,16220.04835,17132.83689,4.34
113768,2,66,2,,4870.168406,5086.826997,0.64
113769,2,36,2,2,24109.85374,27735.73613,0.28
113770,1,52,2,,132580.2774,150054.7687,
113771,2,7,,,7945.036531,9750.629691,
113772,2,17,,,13214.9353,13900.24443,1.36
113773,1,68,1,,31072.78957,32458.72182,
113774,2,4,,,11247.17284,12323.07037,0.49
113775,2,67,1,,13854.86252,14163.13931,1.99
113776,1,53,1,,26464.98666,28249.1281,5
113777,1,69,1,,3700.366268,3900.280871,0.99
113778,1,78,2,,7039.276264,0,2.57
113779,1,21,1,,28350.77773,33472.98319,3.44
113780,2,16,,,4946.139422,5017.019602,
113781,1,19,,,22245.50057,23371.10275,0.12
113782,1,16,,,28182.07677,29517.84475,0.41
113783,2,12,,,21058.81235,21764.53792,0.05
113784,1,10,,,10260.19977,11809.59499,5
113785,2,50,1,,5074.108326,5435.35246,2.88
113786,2,0,,,8015.902525,9296.502515,5
113787,1,71,2,,40672.29721,43194.318,2.07
113788,2,25,1,2,21888.83459,23110.09483,3.55
113789,1,1,,,4204.08799,0,
113790,1,11,,,14570.69713,16194.53106,5
113791,2,24,3,2,85135.2185,93994.27979,1.32
113792,2,25,3,2,13958.79629,15133.07737,
113793,2,11,,,11013.04642,11668.56302,2.43
113794,2,35,1,2,15001.18177,15526.86793,4.08
113795,1,15,,,20678.1925,0,2.39
113796,2,0,,,4703.051549,5367.434653,3.67
113797,1,80,2,,5889.262054,0,3.92
113798,1,9,,,17383.69703,18974.42166,5
113799,1,71,1,,51152.9928,54848.05401,3.43
113800,2,11,,,4273.739313,5187.280457,3.21
113801,2,45,1,,12605.55821,13358.44922,1.14
113802,2,7,,,6088.033418,6598.661066,
113803,1,55,1,,5027.343669,5509.692365,1.69
113804,1,2,,,2861.481304,3148.869406,1.62
113805,1,12,,,15889.57989,17048.2116,1.18
113806,2,15,,,12788.37867,14414.31641,5
113807,2,28,1,2,22267.48045,24517.57381,0.73
113808,2,32,3,2,6484.146195,6930.763523,0.61
113809,1,5,,,10710.31646,11791.08291,
113810,1,40,1,,10592.95289,11947.54443,0.56
113811,2,0,,,4965.423163,5609.547617,0.13
113812,2,32,3,2,12187.74637,13027.10398,0.18
113813,1,20,3,,26354.89108,28041.15891,4.9
113814,2,4,,,11367.85289,13361.97583,5
113815,1,71,2,,3689.563713,4060.484539,1.04
113816,1,49,1,,30327.19448,30574.26634,3.55
113817,2,49,1,,5125.488923,5501.718859,
113818,1,54,2,,18507.47461,18773.44953,2.02
113819,1,60,1,,8115.653467,8428.740772,5
113820,2,35,3,2,22405.85189,23192.96999,1.03
113821,1,6,,,2562.905671,2794.855367,2.4
113822,2,51,1,,8889.077941,10470.86189,1.77
113823,2,13,,,14554.0466,17648.66488,5
113824,1,36,1,,23633.95852,24685.13742,2.39
113825,2,66,2,,11720.35198,12114.24615,1.39
113826,2,70,2,,14194.20445,16105.87781,1.36
113827,1,80,2,,14429.03845,17621.84875,2.19
113828,2,42,1,2,17357.84552,17676.46232,3.88
113829,2,15,,,3425.683118,4019.94095,
113830,2,31,1,1,14344.41255,14951.19207,2.48
113831,1,80,2,,17232.3749,19862.98716,0.09
113832,1,0,,,5682.358449,6084.640606,1.54
113833,1,3,,,11270.26803,13760.00311,1.58
113834,1,42,1,,12218.63392,12774.79698,
113835,2,1,,,15475.64797,18331.04783,
113836,1,12,,,4024.652087,4211.176886,
113837,1,5,,,10710.31646,0,
113838,1,59,1,,7080.746612,7133.97463,0.96
113839,1,42,1,,11767.25945,12294.66158,1.72
113840,1,62,1,,11881.25293,12098.80918,4.25
113841,1,57,1,,45701.87067,50387.97766,5
113842,1,6,,,13551.8479,14223.66716,0.68
113843,2,80,1,,15108.93899,18061.5987,5
113844,2,41,1,2,4595.429138,4544.676873,0.34
113845,2,17,,,19786.49996,20320.22848,
113846,2,58,1,,134333.6266,145015.8109,5
113847,2,51,1,,5787.383349,5780.839659,0.67
113848,1,16,,,12502.71159,13126.99584,1.44
113849,2,18,,,7812.501607,8060.3085,1.15
113850,1,2,,,9238.238591,10517.12119,3.41
113851,1,67,1,,7852.918555,8268.520009,5
113852,2,78,1,,13152.15705,14461.09771,1.97
113853,2,10,,,22871.29828,34729.40314,1.67
113854,2,70,1,,11241.49552,11933.91706,5
113855,1,4,,,8732.627439,9680.818918,0.95
113856,2,63,1,,18226.8124,20616.31257,2.19
113857,2,49,1,,13776.93768,15337.79876,5
113858,2,5,,,11927.16227,13397.98535,0.25
113859,1,75,1,,28924.07988,30428.96703,
113860,2,51,1,,3641.303193,4026.459861,4.72
113861,2,10,,,51799.59647,56875.6952,4.88
113862,2,61,1,,6267.467804,6708.351702,0.92
113863,2,66,1,,3802.467674,3990.639183,
113864,1,3,,,19779.28636,23100.02742,1.45
113865,2,52,1,,164706.6138,187004.0582,5
113866,2,58,1,,77448.78733,94853.83038,5
113867,2,11,,,4285.894564,4860.108785,
113868,2,37,2,2,28915.911,33450.67337,0.09
113869,1,80,2,,5000.126289,5795.874572,2.44
113870,1,69,1,,8841.23456,9003.125383,5
113871,1,71,2,,10628.67658,11187.92118,1.2
113872,1,62,3,,6830.830642,7165.570024,0.83
113873,2,5,,,16099.50613,18437.65923,5
113874,1,43,2,,11368.90023,12386.2547,
113875,2,3,,,3824.488267,4400.307705,3.03
113876,1,4,,,17097.89253,17556.79862,0.58
113877,2,7,,,9225.28696,9860.53806,4.97
113878,1,11,,,10606.35341,11450.96735,0.04
113879,1,1,,,4733.211323,5452.997735,0.69
113880,2,74,1,,57193.73718,59363.50178,1.92
113881,2,67,2,,4625.940763,4869.723774,1.2
113882,1,6,,,3357.528866,0,1.14
113883,1,62,2,,7381.002184,0,2.64
113884,1,47,1,,93947.62109,101740.8574,5
113885,1,1,,,8505.703552,10016.28087,0.81
113886,1,28,3,,12945.92062,14703.20191,1.24
113887,2,13,,,12847.12955,14028.6088,5
113888,1,73,2,,32775.3292,37119.35917,2
113889,1,60,3,,228356.3886,245213.6191,0
113890,2,1,,,8376.694981,9657.788596,0.28
113891,2,40,1,2,7500.249836,8421.734483,4.34
113892,1,2,,,6107.092203,7060.067868,0.8
113893,1,64,1,,7951.429667,8551.828385,1.72
113894,1,18,,,13318.70871,13744.13563,0.65
113895,2,69,1,,8792.919017,9435.903409,3.69
113896,2,80,1,,60894.71979,0,2.28
113897,1,69,1,,30181.94244,32976.39149,5
113898,1,46,1,,12188.55332,12845.40161,
113899,2,37,1,2,20362.93812,20399.35184,
113900,1,58,1,,9860.41924,10832.784,
113901,1,9,,,4850.563072,5284.808597,1.15
113902,1,9,,,14186.31521,15686.19688,2.78
113903,2,65,1,,94669.17463,94228.34235,4.62
113904,2,73,1,,37996.52777,41081.52541,1.01
113905,1,7,,,9513.69747,11348.04894,
113906,1,33,3,,16089.3782,17579.47688,1.49
113907,2,49,1,,12629.67153,12405.62902,1.37
