SEQN,RIAGENDR,RIDAGEYR,DMDMARTZ,RIDEXPRG,WTINTPRP,WTMECPRP,INDFMPIR
109454,2,25,3,2,11041.52593,12158.46682,0.29
109455,1,40,1,,23733.46285,25884.8865,5
109456,1,13,,,18111.02326,18717.8832,1.38
109457,1,76,1,,50587.4578,55969.07015,5
109458,1,18,,,4698.785859,5077.707641,0.64
109459,1,32,3,,26231.87759,29975.83633,2.66
109460,2,80,1,,16837.26945,0,
109461,2,8,,,6807.839542,0,1.08
109462,1,0,,,5946.668855,6300.152822,5
109463,1,0,,,7510.481764,7647.600541,2.85
109464,1,30,3,,13274.84822,14257.93452,1.43
109465,1,17,,,11042.26991,11782.0947,0.28
109466,1,40,1,,22808.26562,25029.94448,
109467,1,21,3,,76993.76243,87630.05491,5
109468,1,60,1,,12535.07564,14054.45475,1.47
109469,1,3,,,1817.275913,1954.964442,1.49
109470,2,1,,,7112.926009,7766.752009,1.02
109471,1,14,,,9790.34403,10263.58807,2.6
109472,1,34,1,,23759.28784,23874.46948,3.52
109473,1,19,,,40406.92563,42320.53484,
109474,2,80,1,,14670.5782,17761.19216,
109475,1,9,,,16570.61825,17906.24012,1.91
109476,2,8,,,1939.022315,2310.538761,0.84
109477,2,6,,,9875.14338,10033.90226,4.27
109478,2,27,1,2,37996.26185,39528.59957,5
109479,1,17,,,17491.66766,18337.17702,0.55
109480,1,30,3,,14305.0854,15519.54337,1.11
109481,1,60,1,,12020.19908,12228.19848,1.39
109482,2,48,1,,71903.51764,76868.98527,5
109483,2,76,1,,49297.9768,68569.7294,
109484,2,3,,,5335.841126,5890.840281,0.05
109485,2,47,2,,30198.68846,31499.25864,4.18
109486,1,65,1,,7015.868851,7506.572056,5
109487,1,0,,,6187.593636,7083.643401,2.11
109488,1,40,1,,5907.795599,6306.881125,1.63
109489,1,80,2,,25464.13688,0,
109490,1,77,1,,4105.767387,4268.063945,
109491,2,0,,,5203.422026,5585.261154,1.11
109492,1,9,,,8512.201215,9471.273504,0.66
109493,1,8,,,5445.067837,6030.266931,2.37
109494,2,5,,,7630.890816,9295.844771,0.98
109495,1,52,1,,171689.4366,174712.4273,5
109496,1,50,1,,163443.9521,189197.4043,5
109497,2,48,3,,9048.362095,10350.7305,1.04
109498,1,0,,,10827.14684,11900.81758,5
109499,2,17,,,55140.94432,57700.67326,5
109500,2,80,1,,11527.57764,15636.59681,
109501,1,45,1,,32607.03641,32364.273,5
109502,2,29,1,2,22453.89989,24330.13804,2.38
109503,1,71,2,,10459.94185,11022.12101,5
109504,1,53,1,,8537.324722,9683.204165,3.55
109505,2,60,2,,2825.350251,2965.16746,2.26
109506,1,7,,,4806.151877,5543.083597,5
109507,2,16,,,6259.29671,7597.019544,0.33
109508,2,39,1,2,218279.8078,223255.6022,5
109509,1,2,,,2555.992851,2800.74693,
109510,1,28,3,,24714.14134,28089.28511,
109511,1,13,,,6109.058867,6651.089532,1.24
109512,1,42,1,,26267.50801,26946.93507,5
109513,2,48,1,,36825.13114,39486.30396,5
109514,1,12,,,4200.090782,4489.271915,0.66
109515,1,1,,,13903.27429,16372.43756,0.87
109516,1,0,,,2910.748736,3327.788099,0.3
109517,1,1,,,14173.4518,16532.278,0.63
109518,2,25,3,2,30277.71895,32206.89551,4.78
109519,1,55,2,,6322.129646,6662.805656,1.6
109520,1,80,2,,9477.542821,9813.99071,0.66
109521,1,4,,,4395.478038,4396.853963,0.01
109522,1,1,,,14208.13718,16694.78054,5
109523,2,77,2,,32511.2288,38980.70001,2.88
109524,2,16,,,15816.78845,16517.41469,
109525,1,24,3,,9078.392959,10321.85854,
109526,2,31,3,2,8393.421949,8519.372754,
109527,2,69,3,,4577.190017,4734.163015,4.26
109528,1,17,,,6377.964845,6817.095138,1.69
109529,1,4,,,18402.59109,18837.88279,1.7
109530,2,49,1,,25949.57758,27351.37104,1.78
109531,1,32,1,,14377.21817,15902.16045,
109532,1,70,1,,16811.42466,18648.01669,3.9
109533,1,6,,,3645.097219,0,
109534,2,77,2,,4746.278155,5235.685666,0.91
109535,1,3,,,7001.653317,0,1.77
109536,2,48,1,,83106.71424,92168.50329,5
109537,2,34,1,3,9650.824302,0,
109538,2,66,2,,27843.88072,30325.42563,0.95
109539,2,19,,,53913.07701,55219.9366,0.99
109540,2,9,,,16665.45381,18889.14915,0.98
109541,2,35,3,2,3784.598133,3899.47546,1.9
109542,2,18,,,8879.178862,9311.839377,1.41
109543,2,1,,,12981.94017,14550.4331,0
109544,2,76,2,,28086.05346,42110.53913,0.4
109545,2,36,1,2,13564.65602,14207.58913,
109546,1,2,,,3966.881932,4583.776371,1.34
109547,2,5,,,20500.07779,22498.19689,1.7
109548,2,25,3,2,21878.49096,23608.83503,4.61
109549,1,22,3,,83497.16871,96634.77696,3.52
109550,2,64,1,,75665.23019,73042.92065,1.85
109551,1,65,77,,12094.70952,12949.82889,
109552,1,74,2,,20658.388,21909.8997,3.48
